id,name,node1,node2,weight,normalized_weight
13325206,North Canyon Drive,122703709,122750335,0.000937999999997885,93
13325207,North Canyon Drive,122849359,122849362,0.000686700000009921,68
13325241,Morrow Circle,4085306664,122849576,0.00010900000000191312,10
13325258,East Amber Avenue,122849649,122849652,0.0008615000000062878,86
13325258,East Amber Avenue,122849652,122849657,0.0005367999999918993,53
13325265,North Janicki Way,122849736,122849740,0.00044760000000110267,44
13325265,North Janicki Way,122849740,7056429569,0.00010619999999761376,10
13325265,North Janicki Way,7056429569,122849743,0.0004215000000016289,42
13325282,East Tyrol Avenue,122849818,122633340,0.0014435999999875548,144
13325306,North Buttonwood Street,122849958,122766606,0.0034074999999944566,340
13325306,North Buttonwood Street,122766606,122849961,0.001519900000012342,151
13325314,West Romneya Drive,122793699,122653559,0.0023298000000053776,232
13325372,Primrose Drive,122810096,122850303,0.0007303999999948019,73
13325372,Primrose Drive,122850303,122850305,0.0007165999999969586,71
13325372,Primrose Drive,122850305,122850309,0.0006982000000022026,69
13325372,Primrose Drive,122850309,122783247,0.0007133000000081324,71
13325372,Primrose Drive,122783247,122850312,0.0007171999999968648,71
13325535,North West Street,122851515,1911012273,0.00013269999999465654,13
13325535,North West Street,122810530,122851524,0.00023190000000283817,23
13325535,North West Street,122851526,122774354,0.0009299000000027036,92
13325535,North West Street,122774354,122774361,9.200000000220143e-05,9
13325535,North West Street,122774361,122758271,0.0008128999999996722,81
13325535,North West Street,122851528,122851533,0.0004798000000150182,47
13325537,North West Street,122703665,122850022,0.0007486000000156423,74
13325704,East Palm Drive,122852730,6106170180,0.0011080000000092127,110
13325704,East Palm Drive,6106170180,122820243,0.0011916999999854738,119
13325709,North Roosevelt Avenue,122852861,122852864,0.0010682000000059588,106
13325709,North Roosevelt Avenue,122852864,122852869,0.0009674999999944589,96
13325753,East Florence Avenue,122735136,122853190,0.0025891000000086706,258
13325755,East Florence Avenue,122804197,122826586,0.0008669000000054439,86
13325755,East Florence Avenue,122826586,122707607,0.002212600000000009,221
13325755,East Florence Avenue,122707607,122758545,0.001068300000000022,106
13325755,East Florence Avenue,122758545,122853197,0.0008823000000006687,88
13325776,Colchester Drive,122853310,122853314,0.0017356999999904588,173
13325776,Colchester Drive,122853314,122650460,0.0008680999999981509,86
13325862,South Camphor Street,122854061,122854065,0.0013280999999949472,132
13325949,Modena Street,122854576,122854579,0.002838400000001684,283
