id,name,node1,node2
4271736,West Katella Avenue,122933364,2195295694
4271736,West Katella Avenue,2195295694,8404028948
4271736,West Katella Avenue,8404028948,2273246057
4271736,West Katella Avenue,2273246057,2195295684
4271736,West Katella Avenue,2195295684,1832465018
4271736,West Katella Avenue,1832465018,2195295676
4469485,West La Palma Avenue,1832757115,1850717836
4469485,West La Palma Avenue,1850717836,1850717832
4991697,Beach Boulevard,769417436,2592829089
4991697,Beach Boulevard,2592829089,1711734651
4991697,Beach Boulevard,1711734651,1711734611
4991697,Beach Boulevard,1711734611,2592829076
4991697,Beach Boulevard,2592829076,4033261339
13270043,Trojan Way,111656400,3701930215
13270043,Trojan Way,3701930215,597562747
13270043,Trojan Way,597562747,597562750
13270043,Trojan Way,597562750,597562748
13270043,Trojan Way,597562748,597562749
13270043,Trojan Way,597562749,3701182963
13270043,Trojan Way,3701182963,122490935
13270043,Trojan Way,122490935,6142805194
13270043,Trojan Way,6142805194,6142805192
13270043,Trojan Way,6142805192,6142849154
13270043,Trojan Way,6142849154,597841080
13270043,Trojan Way,597841080,6842514180
13270043,Trojan Way,6842514180,6307532932
13270043,Trojan Way,6307532932,122944875
13270043,Trojan Way,122944875,6788356897
13270043,Trojan Way,6788356897,6307532941
13270043,Trojan Way,6307532941,6788350978
13270043,Trojan Way,6788350978,6788356886
13270043,Trojan Way,6788356886,122944873
13270043,Trojan Way,122944873,6842580496
13270043,Trojan Way,6842580496,6788350981
13270043,Trojan Way,6788350981,6788356912
13270043,Trojan Way,6788356912,6788350968
13270043,Trojan Way,6788350968,122623097
13270043,Trojan Way,122623097,3701911194
13270043,Trojan Way,3701911194,10903537977
13270043,Trojan Way,10903537977,122944871
13278971,Rosario Avenue,122559972,122559974
13278984,Wren Way,122560104,122560106
13278984,Wren Way,122560106,2165016630
13279003,Apache Drive,122560239,122560242
13279004,Apache Drive,122560246,122560248
13279053,West Compass Lane,122560629,122560630
13279167,San Dieguito Drive,122561537,1991030808
13279167,San Dieguito Drive,1991030808,1991030780
13279167,San Dieguito Drive,1991030780,1991030825
13279167,San Dieguito Drive,1991030825,1991030768
13279167,San Dieguito Drive,1991030768,1991030806
13279167,San Dieguito Drive,1991030806,122561541
13279167,San Dieguito Drive,122561541,1991030764
13279167,San Dieguito Drive,1991030764,1991030771
13279167,San Dieguito Drive,1991030771,1991030756
13279167,San Dieguito Drive,1991030756,1991030819
13279167,San Dieguito Drive,1991030819,1991030792
13279167,San Dieguito Drive,1991030792,122561544
13279371,Knott Avenue,126739351,6787867918
13279371,Knott Avenue,6787867918,122563526
13279371,Knott Avenue,122563526,6787867888
13279371,Knott Avenue,6787867888,7874453330
13279371,Knott Avenue,7874453330,3585017418
13279371,Knott Avenue,3585017418,122563529
13279371,Knott Avenue,122563529,6149643976
13279371,Knott Avenue,6149643976,6726319521
13279371,Knott Avenue,6726319521,6149643975
13279371,Knott Avenue,6149643975,6726319522
13279371,Knott Avenue,6726319522,6149643974
13279371,Knott Avenue,6149643974,6149643973
13279371,Knott Avenue,6149643973,6149643972
13279371,Knott Avenue,6149643972,10628404121
13279371,Knott Avenue,10628404121,1398233763
13279385,Lime Street,122563734,7103922147
13279385,Lime Street,7103922147,2204243678
13279385,Lime Street,2204243678,2204243758
13279385,Lime Street,2204243758,122563772
13279385,Lime Street,122563772,5168361684
13279385,Lime Street,5168361684,122563751
13279387,Oak Street,122563757,122563785
13279387,Oak Street,122563785,5168361682
13279387,Oak Street,5168361682,5168361683
13279387,Oak Street,5168361683,122563789
13279387,Oak Street,122563789,7103918717
13279387,Oak Street,7103918717,7103918718
13279387,Oak Street,7103918718,122563729
13279828,San Simon Lane,122567547,122567550
13279828,San Simon Lane,122567550,1991109401
13279828,San Simon Lane,1991109401,122567553
13279828,San Simon Lane,122567553,122567556
13279828,San Simon Lane,122567556,1991109409
13279828,San Simon Lane,1991109409,1991109411
13279828,San Simon Lane,1991109411,122567560
13279828,San Simon Lane,122567560,1991109414
13279828,San Simon Lane,1991109414,122567564
13279828,San Simon Lane,122567564,122567567
13279828,San Simon Lane,122567567,1991109397
13279828,San Simon Lane,1991109397,1991109407
13279828,San Simon Lane,1991109407,122567569
13280471,Jalon Road,122572766,122572768
13280471,Jalon Road,122572768,122572770
13280471,Jalon Road,122572770,9628286845
13280471,Jalon Road,9628286845,4028917820
13280471,Jalon Road,4028917820,122572774
13280813,East Winston Road,122575401,122575427
13281212,Talbot Drive,122578435,1880368646
13281212,Talbot Drive,1880368646,122578438
13281212,Talbot Drive,122578438,122578442
13281212,Talbot Drive,122578442,122578444
13281212,Talbot Drive,122578444,122578446
13281212,Talbot Drive,122578446,1991206492
13281212,Talbot Drive,1991206492,122578448
13281212,Talbot Drive,122578448,1991206494
13281212,Talbot Drive,1991206494,1880368586
13281212,Talbot Drive,1880368586,1880368564
13281212,Talbot Drive,1880368564,1880368562
13281212,Talbot Drive,1880368562,122578452
13281399,Quail Lane,122580049,122580051
13281967,Hornell Street,122584996,1989255092
13281967,Hornell Street,1989255092,122585002
13281967,Hornell Street,122585002,10754885980
13281967,Hornell Street,10754885980,122585008
13281967,Hornell Street,122585008,10754885975
13281967,Hornell Street,10754885975,927615782
13281967,Hornell Street,927615782,1989255093
13281967,Hornell Street,1989255093,3531728395
13281967,Hornell Street,3531728395,122585011
13281971,Hornell Street,122585020,122585023
13281971,Hornell Street,122585023,927615950
13281971,Hornell Street,927615950,122585025
13281971,Hornell Street,122585025,927499380
13282764,Corley Drive,122590935,122590938
13282764,Corley Drive,122590938,122590940
13282766,Corley Drive,122590946,122590948
13282766,Corley Drive,122590948,122590951
13283100,Ramhurst Drive,122593211,766977332
13283100,Ramhurst Drive,766977332,122593213
13283102,Ramhurst Drive,122593218,122593222
13283771,Bora Drive,122598221,122598223
13283771,Bora Drive,122598223,122598225
13283771,Bora Drive,122598225,766976567
13283771,Bora Drive,766976567,766976669
13283771,Bora Drive,766976669,122598228
13283780,Bora Drive,1990637585,10634780541
13283780,Bora Drive,10634780541,1990637576
13283780,Bora Drive,1990637576,122598234
13283780,Bora Drive,122598234,1990637508
13283780,Bora Drive,1990637508,1990637546
13283780,Bora Drive,1990637546,1990637578
13283780,Bora Drive,1990637578,1990637606
13283780,Bora Drive,1990637606,1990637505
13283780,Bora Drive,1990637505,1990637544
13283780,Bora Drive,1990637544,1990637509
13283780,Bora Drive,1990637509,1990637518
13283780,Bora Drive,1990637518,122598237
13283780,Bora Drive,122598237,1990637586
13283780,Bora Drive,1990637586,1990637519
13283780,Bora Drive,1990637519,9629602819
13283780,Bora Drive,9629602819,122598238
13283780,Bora Drive,122598238,1990637537
13283780,Bora Drive,1990637537,1990637550
13283780,Bora Drive,1990637550,1990637498
13283780,Bora Drive,1990637498,1990637496
13283780,Bora Drive,1990637496,122598240
13283780,Bora Drive,122598240,122598243
13283780,Bora Drive,122598243,122598245
13283780,Bora Drive,122598245,122598247
13283780,Bora Drive,122598247,1990637562
13283780,Bora Drive,1990637562,122598249
13284932,Manzanares Road,767302302,122602452
13284932,Manzanares Road,122602452,122602453
13284932,Manzanares Road,122602453,767302625
13284932,Manzanares Road,767302625,767302599
13284932,Manzanares Road,767302599,122602456
13284932,Manzanares Road,122602456,122602460
13284932,Manzanares Road,122602460,1991095878
13284932,Manzanares Road,1991095878,122572768
13284932,Manzanares Road,122572768,1991095879
13284932,Manzanares Road,1991095879,767302304
13284932,Manzanares Road,767302304,122602465
13284932,Manzanares Road,122602465,122602468
13284932,Manzanares Road,122602468,767302314
13284932,Manzanares Road,767302314,122602472
13284932,Manzanares Road,122602472,767302245
13284932,Manzanares Road,767302245,767302494
13284932,Manzanares Road,767302494,767302388
13284932,Manzanares Road,767302388,122602476
13284935,Manzanares Road,122602460,122602487
13285438,West Diane Way,122782305,122782303
13285438,West Diane Way,122782303,122782301
13285508,Emery Avenue,8674766228,7968402280
13285508,Emery Avenue,7968402280,8404776995
13285508,Emery Avenue,8404776995,8404776992
13285508,Emery Avenue,8404776992,6807791080
13285508,Emery Avenue,6807791080,6807791083
13285508,Emery Avenue,6807791083,122604963
13285673,Sommerset,122605987,7172118363
13285673,Sommerset,7172118363,10122764572
13285673,Sommerset,10122764572,4077274451
13286336,North Raymond Avenue,122628045,8460873400
13287043,Steprock Drive,1990630657,122612625
13287043,Steprock Drive,122612625,122612628
13287043,Steprock Drive,122612628,122612629
13287043,Steprock Drive,122612629,122612631
13287045,Steprock Drive,122569621,1990630615
13287045,Steprock Drive,1990630615,122612636
13287045,Steprock Drive,122612636,1990630634
13287045,Steprock Drive,1990630634,1990630598
13287045,Steprock Drive,1990630598,122612638
13287045,Steprock Drive,122612638,1990630640
13287045,Steprock Drive,1990630640,122612640
13287405,Fairhope Drive,122614898,122614901
13287407,Fairhope Drive,122614906,122614908
13287407,Fairhope Drive,122614908,122614910
13287407,Fairhope Drive,122614910,122614913
13287407,Fairhope Drive,122614913,122614917
13287407,Fairhope Drive,122614917,1991186565
13287407,Fairhope Drive,1991186565,1991212175
13287407,Fairhope Drive,1991212175,122614922
13287465,Cherry Street,9139108027,122615308
13287468,Ash Street,122615308,122615316
13287475,Caravaca Road,122602456,122615350
13287475,Caravaca Road,122615350,767302486
13287475,Caravaca Road,767302486,1991095862
13287475,Caravaca Road,1991095862,767302373
13287475,Caravaca Road,767302373,767302237
13287475,Caravaca Road,767302237,767302547
13287475,Caravaca Road,767302547,767302435
13287475,Caravaca Road,767302435,1991095880
13287475,Caravaca Road,1991095880,122615352
13287475,Caravaca Road,122615352,122602465
13287671,Deerwood Drive,122703927,122616393
13287671,Deerwood Drive,122616393,122616395
13287781,Weeks Drive,122616920,10631101972
13287781,Weeks Drive,10631101972,122616922
13287784,Weeks Drive,4023732099,10602757783
13287784,Weeks Drive,10602757783,1990630630
