id,name,node1,node2
132863361226280458460873400,North Raymond Avenue,122628045,8460873400
13289022122624368122624371,Maertin Lane,122624368,122624371
132890221226243712418439084,Maertin Lane,122624371,2418439084
132890231226243787094732622,Maertin Lane,122624378,7094732622
1328902370947326227094732621,Maertin Lane,7094732622,7094732621
1328902370947326211971137761,Maertin Lane,7094732621,1971137761
132890231971137761122624380,Maertin Lane,1971137761,122624380
13289023122624380122624382,Maertin Lane,122624380,122624382
13289044122624607122624609,North Hilltop Court,122624607,122624609
13289044122624609122624612,North Hilltop Court,122624609,122624612
13289048122624638122624640,Linda Vista Circle,122624638,122624640
13289604122627426122627428,North Hall Avenue,122627426,122627428
132896041226274281971137754,North Hall Avenue,122627428,1971137754
132896041971137754122627430,North Hall Avenue,1971137754,122627430
13289766122628271122628274,Park View Drive,122628271,122628274
13289766122628274122628277,Park View Drive,122628274,122628277
13290931122635023122635026,Hartford Avenue,122635023,122635026
132909321226350311978765446,Hartford Avenue,122635031,1978765446
1329093219787654461978765455,Hartford Avenue,1978765446,1978765455
132909321978765455122635034,Hartford Avenue,1978765455,122635034
13290939122635043122635045,Hartford Avenue,122635043,122635045
132909391226350459393638006,Hartford Avenue,122635045,9393638006
132909399393638006122635047,Hartford Avenue,9393638006,122635047
132909391226350472297677196,Hartford Avenue,122635047,2297677196
1329093922976771969393638011,Hartford Avenue,2297677196,9393638011
132909399393638011122635049,Hartford Avenue,9393638011,122635049
13290939122635049122635052,Hartford Avenue,122635049,122635052
13290939122635052122635054,Hartford Avenue,122635052,122635054
13290939122635054122635056,Hartford Avenue,122635054,122635056
132910541226359911834438595,Cannon Lane,122635991,1834438595
1329105418344385951834438597,Cannon Lane,1834438595,1834438597
1329105418344385971834438599,Cannon Lane,1834438597,1834438599
132910541834438599331117332,Cannon Lane,1834438599,331117332
132910543311173321834438601,Cannon Lane,331117332,1834438601
132910541834438601122635993,Cannon Lane,1834438601,122635993
132910541226359931887698935,Cannon Lane,122635993,1887698935
132910541887698935122635996,Cannon Lane,1887698935,122635996
13291054122635996122635999,Cannon Lane,122635996,122635999
13291142122636600936943403,Ferndale Avenue,122636600,936943403
13291142936943403122636602,Ferndale Avenue,936943403,122636602
132917941226405707103720803,West Malvern Avenue,122640570,7103720803
1329179471037208031494028983,West Malvern Avenue,7103720803,1494028983
1329179414940289831494028969,West Malvern Avenue,1494028983,1494028969
132917941494028969122640572,West Malvern Avenue,1494028969,122640572
13291794122640572122640575,West Malvern Avenue,122640572,122640575
13291794122640575122640579,West Malvern Avenue,122640575,122640579
132917941226405792029104133,West Malvern Avenue,122640579,2029104133
132917942029104133122628586,West Malvern Avenue,2029104133,122628586
132917941226285861494028967,West Malvern Avenue,122628586,1494028967
132917941494028967122640583,West Malvern Avenue,1494028967,122640583
132917941226405833451170785,West Malvern Avenue,122640583,3451170785
132917943451170785122640586,West Malvern Avenue,3451170785,122640586
132924223533843701122646116,Madison Avenue,3533843701,122646116
132924221226461166805285475,Madison Avenue,122646116,6805285475
1329242268052854753533843698,Madison Avenue,6805285475,3533843698
132924223533843698122646117,Madison Avenue,3533843698,122646117
132924221226461172017614612,Madison Avenue,122646117,2017614612
132924222017614612122646119,Madison Avenue,2017614612,122646119
132924221226461193533843695,Madison Avenue,122646119,3533843695
132924223533843695122646121,Madison Avenue,3533843695,122646121
132924221226461219320611579,Madison Avenue,122646121,9320611579
1329242293206115798526685272,Madison Avenue,9320611579,8526685272
1329242285266852723701933571,Madison Avenue,8526685272,3701933571
1329242237019335713701933570,Madison Avenue,3701933571,3701933570
132924223701933570122646128,Madison Avenue,3701933570,122646128
13292422122646128122646130,Madison Avenue,122646128,122646130
13293330122652093122652094,West Calle Grande Road,122652093,122652094
132934191226526203701793350,South Placentia Avenue,122652620,3701793350
132934193701793350964923560,South Placentia Avenue,3701793350,964923560
13293419964923560122652621,South Placentia Avenue,964923560,122652621
132946111226615907094766300,Kensington Drive,122661590,7094766300
132946117094766300122661591,Kensington Drive,7094766300,122661591
132946111226615917094766301,Kensington Drive,122661591,7094766301
1329461170947663017094766302,Kensington Drive,7094766301,7094766302
132946117094766302122661592,Kensington Drive,7094766302,122661592
13294611122661592122661593,Kensington Drive,122661592,122661593
132946111226615937094766303,Kensington Drive,122661593,7094766303
132946117094766303936942622,Kensington Drive,7094766303,936942622
132946119369426227094766304,Kensington Drive,936942622,7094766304
1329461170947663047094766305,Kensington Drive,7094766304,7094766305
1329461170947663057094766306,Kensington Drive,7094766305,7094766306
1329461170947663067094766307,Kensington Drive,7094766306,7094766307
132946117094766307122661594,Kensington Drive,7094766307,122661594
13294746122662313122662314,Ivy Place,122662313,122662314
13294747122662322122662325,Ivy Place,122662322,122662325
13295537122668059122668062,North Eugene Drive,122668059,122668062
132955371226680622265550508,North Eugene Drive,122668062,2265550508
1329553722655505082265550482,North Eugene Drive,2265550508,2265550482
1329553722655504822265550474,North Eugene Drive,2265550482,2265550474
1329553722655504742265550495,North Eugene Drive,2265550474,2265550495
1329553722655504952265550503,North Eugene Drive,2265550495,2265550503
13296441122673288122673292,North Lincoln Avenue,122673288,122673292
132964411226732921971137767,North Lincoln Avenue,122673292,1971137767
132964411971137767122673295,North Lincoln Avenue,1971137767,122673295
132964431226733024710756578,North Lincoln Avenue,122673302,4710756578
1329644347107565784055439979,North Lincoln Avenue,4710756578,4055439979
13296446122673314122673316,North Lincoln Avenue,122673314,122673316
132964461226733162932143386,North Lincoln Avenue,122673316,2932143386
132964462932143386122673318,North Lincoln Avenue,2932143386,122673318
132964461226733187094758379,North Lincoln Avenue,122673318,7094758379
1329644670947583791971137820,North Lincoln Avenue,7094758379,1971137820
132964461971137820122673320,North Lincoln Avenue,1971137820,122673320
132964461226733207094758378,North Lincoln Avenue,122673320,7094758378
132964467094758378936943008,North Lincoln Avenue,7094758378,936943008
132964469369430087507334170,North Lincoln Avenue,936943008,7507334170
132964467507334170936943010,North Lincoln Avenue,7507334170,936943010
13296446936943010122673323,North Lincoln Avenue,936943010,122673323
132971741226784719903170353,Tuscany Way,122678471,9903170353
132971749903170353122678473,Tuscany Way,9903170353,122678473
13297183122678614122678617,Blue Water Lane,122678614,122678617
13297183122678617122678620,Blue Water Lane,122678617,122678620
1329720140833361711875762174,North Acacia Avenue,4083336171,1875762174
1329720118757621744616780327,North Acacia Avenue,1875762174,4616780327
1329720146167803274083336173,North Acacia Avenue,4616780327,4083336173
13297304122679674122679676,North Edgar Place,122679674,122679676
13297471122680822122680825,Boxwood Avenue,122680822,122680825
13297471122680825122680826,Boxwood Avenue,122680825,122680826
13297819122683037122683039,North Harrington Drive,122683037,122683039
13297819122683039122683041,North Harrington Drive,122683039,122683041
132978191226830411971137757,North Harrington Drive,122683041,1971137757
1329781919711377571971137759,North Harrington Drive,1971137757,1971137759
132978191971137759122683043,North Harrington Drive,1971137759,122683043
13297822122683048122683050,North Harrington Drive,122683048,122683050
13297822122683050122683053,North Harrington Drive,122683050,122683053
13297822122683053122683054,North Harrington Drive,122683053,122683054
13297822122683054122683056,North Harrington Drive,122683054,122683056
13297822122683056122683058,North Harrington Drive,122683056,122683058
13297823122683065122683067,Virginia Road,122683065,122683067
13297826122683081122683079,Virginia Road,122683081,122683079
132978261226830791971137861,Virginia Road,122683079,1971137861
132978261971137861122683077,Virginia Road,1971137861,122683077
13297826122683077122683075,Virginia Road,122683077,122683075
132978261226830753451116867,Virginia Road,122683075,3451116867
1329782634511168671971137846,Virginia Road,3451116867,1971137846
1329782619711378461971137862,Virginia Road,1971137846,1971137862
13297827122683090122683093,Virginia Road,122683090,122683093
132978291226830977094776885,Virginia Road,122683097,7094776885
1329782970947768856792371716,Virginia Road,7094776885,6792371716
1329782967923717167094758384,Virginia Road,6792371716,7094758384
132978297094758384122683099,Virginia Road,7094758384,122683099
132978321226831061971137853,Virginia Road,122683106,1971137853
